Airfare,GroupTravel,NoTransport,PleasureTrip,Destination2,Destination3,Destination4,DepartureTime2,DepartureTime3,DepartureTime4,Income2,Income3,Income4,Income5,Income6,Income7,Income8,airline
76,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2
30,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
36,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2
40,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,3
31,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
31,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,3
260,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
50,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2
50,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
45,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
45,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
56,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
28,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
60.79,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
53,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4
56,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
58,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,3
29.12,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2
53,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4
69,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
28,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
60.79,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
82,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
58,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,3
50,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
30,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2
50,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
48.34,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2
78,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2
70,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
50,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4
66,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2
45,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
50,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4
20,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,4
60.79,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
45,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
50,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4
50,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
27,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,4
56,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
40,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
35,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4
40.4,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4
11,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,3
60.79,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
57,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
40.4,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4
52,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2
26.43,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
100,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2
60.79,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
52,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2
50,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
30,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2
53.17,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4
36,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
29.12,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2
40,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2
48.34,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
50,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,4
60.79,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
50,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,4
48.34,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
20,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4
34,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4
40,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2
48.34,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
27.12,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2
134.57,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
29.12,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2
70,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,3
70,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2
70,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2
23,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
67,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
30,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
