"","ID","Airport","Airline","Age","Gender","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","GroupTravel","NoTripsLastYear","FrequentFlightDestination1","FrequentFlightDestination2","FrequentFlightDestination3","FrequentFlightDestination4","FrequentFlightDestination5","FrequentFlightDestination6","FrequentFlightDestination7","Destination","TotalDepartureHr","DepartureTime","SeatClass","Airfare","NoTransport","ModeTransport","AccessCost","AccessTime","Occupation","MileageAirline","FrequentDestination1","FrequentDestination2","FrequentDestination3","FrequentDestination4","FrequentDestination5","FrequentDestination6","FrequentDestination7","MileageAirline1","MileageAirline2","MileageAirline3","MileageAirline4","MileageAirline5","Income"
"114",119,1,2,31,2,1,1,15,2,8,2,0,0,0,1,0,0,0,0,2,21,4,1,27.12,1,1,8400,180,2,5,0,0,1,0,0,0,0,0,0,0,0,1,3
"115",120,1,2,37,2,1,1,5,4,3,1,2,0,0,1,0,0,0,0,1,20,3,1,41,1,6,12000,90,3,2,0,0,1,0,0,0,0,0,1,0,0,0,2
"116",121,1,1,43,1,1,2,9,2,3,2,1,0,1,1,0,0,0,0,4,19.5,3,1,120,1,6,12642,76,2,5,0,1,1,0,0,0,0,0,0,0,0,1,3
"117",122,1,3,45,1,1,1,5,1,4,2,1,1,1,0,0,0,0,0,3,19.58,3,1,35,2,8,10600,155,12,5,1,1,0,0,0,0,0,0,0,0,0,1,8
"118",123,1,1,42,2,1,1,5,3,1,1,0,1,0,0,0,0,0,0,3,5.67,2,1,50,2,2,2400,10,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
"119",124,1,2,44,1,1,4,10,0,1,2,2,1,0,0,0,0,0,0,3,19.83,3,1,55,1,6,9000,40,2,4,1,0,0,0,0,0,0,0,0,0,1,0,4
"120",125,1,4,55,1,1,2,5,1,8,2,2,0,1,0,0,0,0,0,1,20.08,3,1,53.17,1,6,8400,180,2,5,0,1,0,0,0,0,0,0,0,0,0,1,3
"121",126,1,4,52,1,1,2,5,1,2,2,3,0,1,0,0,0,0,0,1,20.08,3,1,53.17,1,5,3175,39,2,5,0,1,0,0,0,0,0,0,0,0,0,1,4
"122",127,1,1,50,1,1,1,365,2,8,1,0,0,1,0,0,0,0,0,2,20.92,3,1,26.43,1,9,8400,180,2,4,0,1,0,0,0,0,0,0,0,0,1,0,4
"123",128,1,4,69,2,1,1,12,2,1,2,2,1,0,0,0,0,0,0,4,22,4,2,71.33,1,1,6595,60,9,5,1,0,0,0,0,0,0,0,0,0,0,1,7
"124",129,1,1,30,1,1,1,6,2,1,1,4,0,0,0,0,1,0,0,4,18,3,1,134.57,1,2,11000,30,2,1,0,0,0,0,1,0,0,1,0,0,0,0,3
"125",130,1,2,30,2,1,1,6,2,1,2,0,0,0,0,0,0,0,1,3,20.33,3,1,29.12,1,3,6595,56,2,5,0,0,0,0,0,0,1,0,0,0,0,1,3
"126",131,1,2,32,1,1,1,6,2,1,2,1,0,0,0,0,0,0,1,3,20.33,3,1,29.12,1,3,6595,56,2,5,0,0,0,0,0,0,1,0,0,0,0,1,3
"127",132,1,4,47,2,1,1,4,2,8,1,0,1,0,0,0,0,0,0,3,20.67,3,3,40.4,1,5,2700,40,9,4,1,0,0,0,0,0,0,0,0,0,1,0,3
"128",133,1,1,47,2,1,1,6,2,8,2,0,0,0,0,0,0,0,1,3,20.08,3,1,60.79,3,5,8400,180,2,4,0,0,0,0,0,0,1,0,0,0,1,0,4
"129",134,1,2,47,2,1,1,4,4,1,1,1,1,0,0,0,0,0,0,3,20.5,3,1,29.12,1,5,6595,56,9,5,1,0,0,0,0,0,0,0,0,0,0,1,3
"130",135,1,3,37,1,4,4,99,0,8,2,1,1,0,0,0,0,0,0,3,21.67,4,1,65,2,1,8400,180,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
"131",136,1,4,24,2,1,1,5,2,1,2,2,1,0,0,1,1,0,0,3,8.5,1,1,56,2,2,3300,10,12,5,1,0,0,1,1,0,0,0,0,0,0,1,8
"132",137,1,1,33,1,2,2,10,2,1,2,4,1,1,1,0,0,0,0,1,7.75,3,2,49.83,1,1,10000,56,1,5,1,1,1,0,0,0,0,0,0,0,0,1,2
"133",138,1,1,30,1,1,2,7,1,3,1,9,0,0,0,0,0,1,0,3,20.58,3,1,53,1,9,350000,80,12,1,0,0,0,0,0,1,0,1,0,0,0,0,3
