ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income,MileageAirline,Mileage
22,1,3,29,1,4,1,5,3,1,2,1,3,3,TW101,20,25,3,1,,1,5,1500,50,2,2,2,40000
23,1,3,28,1,1,1,5,3,1,2,2,1,3,,8,40,4,1,,1,5,900,10,1,4,4,
24,1,3,35,1,1,1,6,2,1,2,1,4,3,,20,5,3,1,48,1,1,3,90,5,3,2,8000
25,1,4,30,2,1,1,5,2,3,2,5,5,3,,4,20,2,1,53,1,6,10000,60,9,3,,
26,1,4,22,1,4,4,30,0,3,2,0,6,4,,11,45,4,1,39,3,3,1100,15,12,,,
27,1,1,55,1,1,1,5,3,3,2,2,"2,5",1,,14,10,2,1,28,2,2,4000,10,12,,,
28,1,1,20,2,1,3,21,1,3,2,1,5,1,KE607,19,45,3,1,,1,6,8000,50,8,,4,
29,1,3,33,1,1,1,5,2,5,2,1,1,3,7C2201,19,35,3,1,,2,2,7500,30,12,,,
30,1,4,31,2,1,1,3,4,1,2,1,1,4,CX421,9,25,1,1,43,1,6,10000,60,2,1,3,
31,1,3,33,2,1,1,6,2,1,2,2,1,3,,20,5,3,1,48,1,1,,60,5,4,1,5000
32,1,1,46,1,1,2,4,1,3,2,50,2,3,KE687,19,0,3,2,,1,6,5500,40,12,5,4,
33,1,1,24,2,1,1,45,2,5,2,1,5,4,KE933,13,0,2,1,140,2,7,17900,180,12,,,
34,1,1,22,1,1,3,100,0,6,2,0,6,4,,20,5,3,1,110,1,7,1200,15,12,,,
35,1,3,32,2,1,1,6,2,5,2,1,1,3,,20,5,3,1,40,2,2,7500,10,12,,,
36,1,1,34,2,4,1,15,4,1,2,1,1,3,KE641,18,40,3,1,70,1,1,,,2,2,1,5000
37,1,1,40,2,1,1,5,4,1,2,1,1,3,,14,20,2,3,80,2,3,1000,,12,,,
38,1,4,22,2,1,1,30,2,1,2,0,5,4,CX419,20,5,3,1,108,2,3,1050,,12,,,
39,1,1,36,1,1,1,16,2,1,1,3,1,4,,,,2,1,100,1,3,1300,40,1,4,1,90000
40,1,2,22,1,1,1,40,0,1,2,2,"1,5,6",4,,,,4,1,100,1,6,10000,120,8,4,,
41,1,4,22,2,1,1,30,2,1,2,0,5,4,CX419,20,0,3,1,108,2,3,1050,8,12,,,
42,1,1,44,1,1,2,3,2,1,2,4,1,3,KE5643,18,40,3,1,59,1,1,0,15,5,5,1,100000
43,1,1,31,2,1,4,4,0,3,2,100,"1,2,3,4,5",3,KE691,10,35,1,2,40,2,2,8000,10,12,,,
44,1,1,57,1,4,2,140,1,5,2,10,1,3,KE641,18,40,3,1,,2,10,,60,12,,,
45,1,3,28,1,1,1,5,4,3,2,4,6,3,7C2301,19,35,3,1,30,1,6,12000,75,2,2,,
46,1,1,32,2,1,1,10,2,3,2,2,1,1,KE833,14,50,2,1,48,2,2,5000,10,12,,,
47,1,1,29,2,1,1,5,2,3,2,2,3,2,KE5703,13,35,2,1,54,1,6,8000,50,3,2,,
48,1,1,35,2,1,2,3,5,3,2,20,1,3,KE653,18,40,3,1,60,1,6,6000,40,12,3,4,
