ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination1,FrequentFlightDestination2,FrequentFlightDestination3,FrequentFlightDestination4,FrequentFlightDestination5,FrequentFlightDestination6,FrequentFlightDestination7,Destination,TotalDepartureHr,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,MileageAirline,FrequentDestination1,FrequentDestination2,FrequentDestination3,FrequentDestination4,FrequentDestination5,FrequentDestination6,FrequentDestination7,MileageAirline1,MileageAirline2,MileageAirline3,MileageAirline4,MileageAirline5,Income
93,1,4,45,1,1,1,5,1,7,2,0,1,0,0,0,0,0,0,3,13.58,2,1,61,3,8,6000,120,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
94,1,4,40,2,1,1,5,1,7,2,2,1,0,0,0,0,0,0,3,13.58,2,1,61,3,8,6000,120,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
95,1,4,39,1,1,1,0,5,5,2,0,1,0,0,0,0,0,0,3,13.42,2,2,30,3,2,10000,30,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
96,1,4,37,1,1,1,6,5,5,2,5,1,0,0,0,0,0,0,3,13.42,2,1,41,3,5,1100,30,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
97,1,2,44,1,1,2,15,1,1,2,80,0,1,0,0,0,0,0,1,14.33,2,2,48.34,2,2,13000,45,12,5,0,1,0,0,0,0,0,0,0,0,0,1,8
98,1,2,30,2,1,1,5,2,4,2,1,1,0,0,0,0,0,0,3,16.17,2,2,75,2,8,14000,40,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
99,1,4,49,1,1,1,4,2,8,1,0,1,0,0,0,0,0,0,3,20.67,3,3,40.4,1,5,2700,40,3,4,1,0,0,0,0,0,0,0,0,0,1,0,2
100,1,1,50,2,1,1,7,2,2,2,0,1,0,0,0,0,0,0,3,20.33,3,1,60.79,1,5,3175,30,9,4,1,0,0,0,0,0,0,0,0,0,1,0,4
101,1,4,52,2,1,4,99,0,8,2,0,1,0,0,0,0,0,0,3,21.58,4,1,27,1,6,15000,100,9,1,1,0,0,0,0,0,0,1,0,0,0,0,1
102,1,4,54,2,1,1,5,26,3,1,2,1,0,0,0,0,0,0,3,20,3,1,3,2,2,2500,76,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
103,1,2,55,2,1,1,6,4,1,1,0,1,0,0,0,0,0,0,1,20.17,3,1,48.34,2,5,6595,56,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
104,1,1,60,2,1,1,5,2,3,2,1,1,0,0,0,0,0,0,3,20.33,3,1,60.79,1,6,12642,76,11,4,1,0,0,0,0,0,0,0,0,0,1,0,1
105,1,1,62,1,1,1,5,2,3,2,1,1,0,0,0,0,0,0,3,20.33,3,1,60.79,1,6,12642,120,11,4,1,0,0,0,0,0,0,0,0,0,1,0,1
106,1,4,64,2,1,1,5,26,3,1,2,1,0,0,0,0,0,0,3,20,3,1,3,2,2,2500,76,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
107,1,3,27,2,1,1,5,4,1,2,4,1,0,0,0,0,0,0,3,17.33,2,1,60,1,6,15000,60,12,1,1,0,0,0,0,0,0,1,0,0,0,0,2
108,1,3,25,2,1,1,5,4,1,2,0,0,1,0,0,0,0,0,3,17.33,2,1,53,1,6,13000,60,3,5,0,1,0,0,0,0,0,0,0,0,0,1,8
109,1,3,24,2,1,1,5,1,3,2,2,1,0,0,0,0,0,0,3,17.5,2,1,50,1,6,12000,100,2,5,1,0,0,0,0,0,0,0,0,0,0,1,4
110,1,3,28,1,1,1,6,2,1,2,2,0,0,0,0,1,0,0,3,17.5,2,1,23,1,6,14000,60,2,5,0,0,0,0,1,0,0,0,0,0,0,1,7
111,1,3,29,1,1,1,3,3,2,2,1,1,0,0,0,0,0,0,3,19.58,3,1,30,1,5,3175,39,2,4,1,0,0,0,0,0,0,0,0,0,1,0,2
112,1,2,25,2,1,1,3,12,1,1,0,0,0,0,0,0,0,1,3,20.33,3,1,29.12,1,6,15000,160,5,5,0,0,0,0,0,0,1,0,0,0,0,1,8
