AccessTime,Destination2,Destination3,Destination4,DepartureTime3,Income2,Income3,Income4,Income5,Income6,Income7,Income8,Airline3,Airline2,Airline4,airport
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
30,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
40,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
20,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
60,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
60,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
40,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
30,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
150,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
40,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
40,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
120,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
50,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
40,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
180,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
60,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
120,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
64,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
30,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
40,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
305,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
90,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
64,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
50,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
180,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
30,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
90,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
50,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
25,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
60,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
90,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
30,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
64,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
40,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
40,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
60,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
60,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
60,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
50,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
30,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
70,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
50,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
60,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
60,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
180,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
