,ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
145,146,1,2,36.0,1.0,4,2,180,1,5,2,2,1,3,NotRespond,19,15,3,1.0,40.0,2,2,7500.0,10.0,12,2.0
146,147,1,3,33.0,1.0,4,1,5,2,1,2,3,1,3,CJ003,21,40,4,1.0,50.0,1,6,15000.0,60.0,2,3.0
147,148,1,4,30.0,1.0,4,1,5,2,1,1,1,1,3,J195,21,35,4,1.0,30.0,2,1,7000.0,40.0,12,2.0
148,149,1,4,29.0,1.0,4,1,6,2,2,2,1,1,3,J195,21,35,4,1.0,30.0,1,6,2300.0,30.0,5,5.0
149,150,1,2,22.0,1.0,4,3,150,0,4,2,0,1,3,J195,21,35,4,1.0,50.0,1,4,12500.0,50.0,8,2.0
150,151,1,1,44.0,1.0,1,2,3,0,5,2,2,1,3,KE471,18,45,3,1.0,89.0,2,8,50000.0,390.0,12,2.0
151,152,1,1,54.0,1.0,1,1,5,2,4,2,0,7,1,NotRespond,21,0,4,1.0,40.0,1,7,6800.0,65.0,12,2.0
152,153,1,2,40.0,2.0,1,1,5,2,1,2,0,1,3,OZ747,19,50,3,1.0,100.0,2,5,1050.0,25.0,12,2.0
153,154,1,2,42.0,1.0,1,1,5,2,1,2,1,1,3,OZ747,19,50,3,1.0,100.0,1,7,6900.0,40.0,12,2.0
154,155,1,4,44.0,1.0,5,1,10,1,8,2,2,4,4,NotRespond,16,50,2,2.0,50.0,1,8,5350.0,150.0,1,6.0
155,156,1,1,31.0,2.0,1,2,5,1,1,2,5,5,3,ZE511,17,30,2,1.0,60.0,1,7,8000.0,40.0,2,4.0
156,157,1,1,21.0,1.0,1,1,9,0,1,2,2,1,3,ZE511,17,30,2,1.0,60.0,1,7,7450.0,40.0,8,3.0
157,158,1,4,44.0,1.0,4,1,4,4,5,1,2,1,3,NotRespond,18,0,3,1.0,50.0,1,8,56000.0,110.0,3,3.0
158,159,1,3,24.0,2.0,1,1,5,2,5,1,1,1,3,KE623,20,5,3,1.0,49.0,2,8,38000.0,120.0,5,2.0
159,160,1,2,52.0,2.0,1,1,5,4,1,1,2,1,3,NotRespond,17,0,2,1.0,70.0,1,2,9000.0,15.0,8,3.0
160,161,1,3,71.0,2.0,5,1,7,3,1,2,2,5,3,NotRespond,8,5,3,1.0,50.0,2,1,7000.0,20.0,12,2.0
161,162,1,2,54.0,2.0,1,4,3,0,8,2,4,3,2,NotRespond,6,50,3,1.0,50.0,1,2,14000.0,35.0,9,7.0
162,163,1,2,37.0,2.0,4,2,5,2,1,2,3,1,3,OZ2757,20,20,3,1.0,76.0,1,6,24000.0,90.0,2,6.0
163,164,1,2,37.0,1.0,1,2,60,1,3,2,10,2,1,OZ367,20,0,3,1.0,30.0,2,3,1050.0,30.0,12,3.0
164,165,1,2,41.0,2.0,1,1,6,2,1,2,0,1,3,NotRespond,7,55,3,1.0,36.0,1,2,2500.0,10.0,7,2.0
165,166,1,3,27.0,1.0,1,1,6,1,1,2,1,1,3,LJ015,19,20,3,1.0,40.0,1,6,11000.0,20.0,1,2.0
166,167,1,3,28.0,2.0,1,1,5,1,1,2,3,4,3,7C2301,19,35,3,1.0,31.0,2,3,1050.0,15.0,12,2.0
167,168,1,3,29.0,2.0,4,1,5,2,1,2,3,1,3,7C2301,19,35,3,1.0,31.0,1,2,4300.0,15.0,2,6.0
168,169,1,1,56.0,2.0,3,1,8,2,8,2,1,3,2,KE001,17,40,2,2.0,260.0,2,1,5350.0,34.0,12,4.0
169,170,1,2,59.0,2.0,1,1,30,1,1,2,3,1,3,KE653,19,10,3,1.0,50.0,2,2,10000.0,15.0,12,2.0
170,171,1,1,30.0,2.0,1,1,6,3,1,2,2,"1,3",3,KE651,17,40,2,1.0,50.0,1,6,15000.0,60.0,2,5.0
171,172,1,1,28.0,2.0,4,1,6,2,5,2,1,1,3,KE631,8,35,3,1.0,45.0,2,8,24000.0,110.0,12,2.0
172,173,1,1,21.0,2.0,1,3,10,0,8,2,3,2,1,KE895,19,15,3,1.0,45.0,1,2,14000.0,35.0,8,6.0
173,174,1,3,29.0,2.0,1,1,7,1,1,2,2,6,3,7C2301,19,35,3,1.0,56.0,2,2,2700.0,5.0,12,2.0
174,175,1,1,26.0,1.0,1,1,5,2,1,2,2,2,1,KE5885,16,33,2,1.0,28.0,2,1,7000.0,20.0,12,2.0
175,176,1,1,25.0,2.0,1,1,60,2,1,2,2,1,3,KE622,8,10,2,1.0,49.5,2,2,5000.0,15.0,12,2.0
176,177,1,4,37.0,2.0,1,1,10,1,1,2,3,5,3,PR469,20,45,3,1.0,53.0,2,5,1200.0,30.0,12,2.0
177,178,1,3,33.0,1.0,1,1,7,2,3,2,0,3,3,7C2301,19,35,3,1.0,56.0,2,3,2000.0,60.0,12,2.0
178,179,1,3,34.0,NotRespond,1,1,7,1,3,2,2,1,3,7C2401,21,55,4,1.0,53.0,2,3,2000.0,60.0,12,3.0
179,180,1,3,35.0,2.0,1,1,5,2,1,2,1,1,3,7C2401,21,55,4,1.0,58.0,2,1,7000.0,20.0,12,2.0
180,181,1,2,45.0,1.0,1,2,5,0,1,2,7,1,3,OZ6763,21,20,4,2.0,49.5,1,6,15000.0,70.0,1,6.0
181,182,1,4,41.0,1.0,1,1,10,0,1,2,3,5,3,PR469,20,45,3,1.0,53.0,2,5,1200.0,30.0,12,2.0
182,183,1,1,47.0,1.0,1,1,16,0,1,2,3,1,3,NotRespond,17,50,2,1.0,69.0,1,2,4000.0,10.0,7,4.0
183,184,1,1,55.0,2.0,1,1,5,2,3,2,2,2,1,KE5885,16,33,2,1.0,28.0,2,3,2000.0,30.0,12,3.0
184,185,1,1,59.0,2.0,1,1,60,2,1,2,0,1,3,KE622,20,10,3,1.0,49.5,2,2,5000.0,15.0,12,2.0
