ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income,MileageAirline,Mileage,FrequentDestination1,FrequentDestination2,FrequentDestination3,FrequentDestination4,FrequentDestination5,FrequentDestination6,FrequentDestination7,MileageAirline1,MileageAirline2,MileageAirline3,MileageAirline4,MileageAirline5
60,1,3,36,1,1,1,5,1,4,2,3,"1,3",3,NA,NA,NA,2,1,NA,2,8,NA,60,1,3,4,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
61,1,2,53,1,5,2,7,2,8,2,50,1,3,OZ741,18,30,3,1,75,1,8,NA,150,2,6,4,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
62,1,4,47,1,1,1,2,3,1,2,0,1,2,NA,5,45,2,1,20,2,2,1050,40,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
63,1,1,27,1,1,2,180,1,5,2,4,3,2,NA,18,30,3,1,67,2,8,5e4,NA,12,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
64,1,4,22,2,5,1,5,1,1,2,12,6,2,ZW893,17,45,2,1,19,2,5,NA,NA,12,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
65,1,3,28,1,1,1,6,5,3,2,0,1,3,7C2201,20,5,3,1,38,2,3,1100,20,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
66,1,4,29,2,2,1,20,1,1,2,2,1,1,NA,19,10,3,1,30,1,5,6900,43,2,1,4,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
67,1,1,47,1,1,1,5,2,3,2,3,1,3,KE687,19,0,3,1,NA,1,5,1200,40,4,5,1,7e3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
68,1,1,38,1,1,1,4,3,1,2,3,5,2,NA,NA,NA,2,1,NA,1,2,3e3,5,2,3,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
69,1,NA,58,1,1,3,7,2,4,1,8,5,4,NA,NA,NA,2,1,180,3,2,6e3,20,12,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
